2025-04-13T05:35:23.064045500 - Início do scan...
2025-04-13T05:35:33.040756900 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$IVJ4IRE.csv
2025-04-13T05:35:33.164669900 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$IW232IO.3-Afirmacoes
2025-04-13T05:35:33.286685300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$IWB824Q.9
2025-04-13T05:35:33.427198 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$IWHEBGH.png
2025-04-13T05:35:33.550924200 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$IWW5M33.txt
2025-04-13T05:35:33.679772300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$R0QYYSJ\personagens.json
2025-04-13T05:35:33.807159300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$R2FMGP5
2025-04-13T05:35:34.191323100 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$R8ARQWD.txt
2025-04-13T05:35:34.324625300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$R916VKW.txt
2025-04-13T05:35:34.410405300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$R918TL1.txt
2025-04-13T05:35:34.521676600 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$RAG5D4U.txt
2025-04-13T05:35:34.608747700 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$RFAED9G.csv
2025-04-13T05:35:34.689262300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$RHM7CSI.txt
2025-04-13T05:35:34.804382 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$RJDLXMH.csv
2025-04-13T05:35:34.927627300 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$RMG1T3W.csv
2025-04-13T05:35:34.994915100 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$RU7KTJC.txt
2025-04-13T05:35:35.117925700 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$RUR68P9\personagens.json
2025-04-13T05:35:35.201615100 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$RVJ4IRE.csv
2025-04-13T05:35:35.326659600 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\$RWW5M33.txt
2025-04-13T05:35:35.381080500 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-1001\desktop.ini
2025-04-13T05:35:35.440504 - ✅ Ficheiro seguro: c:\$Recycle.Bin\S-1-5-21-3285781807-3480081608-2812664619-500\desktop.ini
2025-04-13T05:35:35.573502600 - ✅ Ficheiro seguro: c:\App\7-Zip\7-zip.chm
2025-04-13T05:35:35.691524100 - ✅ Ficheiro seguro: c:\App\7-Zip\7-zip.dll
2025-04-13T05:35:35.820490 - ✅ Ficheiro seguro: c:\App\7-Zip\7-zip32.dll
2025-04-13T05:35:36.011209500 - ✅ Ficheiro seguro: c:\App\7-Zip\7z.dll
2025-04-13T05:35:36.175252400 - ✅ Ficheiro seguro: c:\App\7-Zip\7z.exe
2025-04-13T05:35:36.479397400 - ✅ Ficheiro seguro: c:\App\7-Zip\7z.sfx
2025-04-13T05:35:36.681465600 - ✅ Ficheiro seguro: c:\App\7-Zip\7zCon.sfx
2025-04-13T05:35:36.851667500 - ✅ Ficheiro seguro: c:\App\7-Zip\7zFM.exe
2025-04-13T05:35:37.043636400 - ✅ Ficheiro seguro: c:\App\7-Zip\7zG.exe
2025-04-13T05:35:37.169288200 - ✅ Ficheiro seguro: c:\App\7-Zip\descript.ion
2025-04-13T05:35:37.301841100 - ✅ Ficheiro seguro: c:\App\7-Zip\History.txt
2025-04-13T05:35:37.434878800 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\af.txt
2025-04-13T05:35:37.559056800 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\an.txt
2025-04-13T05:35:37.678897300 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\ar.txt
2025-04-13T05:35:37.822687100 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\ast.txt
2025-04-13T05:35:37.965476100 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\az.txt
2025-04-13T05:35:38.102091900 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\ba.txt
2025-04-13T05:35:38.236228 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\be.txt
2025-04-13T05:35:38.395230900 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\bg.txt
2025-04-13T05:35:38.526416900 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\bn.txt
2025-04-13T05:35:38.640064700 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\br.txt
2025-04-13T05:35:38.757619100 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\ca.txt
2025-04-13T05:35:38.906269200 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\co.txt
2025-04-13T05:35:39.034395500 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\cs.txt
2025-04-13T05:35:39.186392400 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\cy.txt
2025-04-13T05:35:39.322881200 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\da.txt
2025-04-13T05:35:39.459141800 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\de.txt
2025-04-13T05:35:39.585947700 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\el.txt
2025-04-13T05:35:39.727165 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\en.ttt
2025-04-13T05:35:39.863166900 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\eo.txt
2025-04-13T05:35:39.997033500 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\es.txt
2025-04-13T05:35:40.138403700 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\et.txt
2025-04-13T05:35:40.281405300 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\eu.txt
2025-04-13T05:35:40.425498 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\ext.txt
2025-04-13T05:35:40.557995700 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\fa.txt
